Language,dev_Lemmas,dev_UPOS,dev_UAS,dev_LAS,dev_CLAS,dev_MLAS,dev_BLEX
English,2.293419290789034,2.3006664542891833,2.4282617563055187,2.44723161203285,2.5450034467628297,2.5648527655587747,2.543618457592118
Russian,2.4080725075208917,2.041280746319209,2.259799014163586,2.2897563608718965,2.3092991908625318,2.5713619071944835,2.4834218903697307
Turkish,2.346919318797674,2.16513395797701,2.6676455879936793,2.5724186134018048,2.572189033269706,2.5490467509481793,2.6171793470717413
Indonesian,3.740807674245813,1.9634452360435317,1.5774355255062749,1.7347457710447773,1.7480925513244552,1.7404916745829968,2.111681130390111
Chinese,1.5812043594370344,2.670668915281796,2.2983623377131472,2.3723790457743603,2.38447223353615,2.460052836783424,2.386426094617355
Persian,2.5457457299482815,2.262864509652691,2.291868391110133,2.3500110850692955,2.3549596582085237,2.402723620110274,2.4262519886623615
Korean,2.638118105816779,2.282482773541135,2.8275408695622524,2.8409428673424326,2.801169383226275,2.735672160030061,2.8490555730365013
Greek,2.2463529524582273,2.081177761522115,1.84675315365214,1.8889786611561274,1.921660780537461,2.1279741348452106,2.0949288575713845
Hebrew,2.1688100821662677,2.08258700107939,1.8202348806617537,1.909494222027502,1.9494525512877434,2.037816901554458,2.043546361728898
Vietnamese,2.1144337530989943,2.626485491397559,2.8482495572982165,2.8270271805963505,2.8219727164127217,2.908726284180206,2.8241162551195025
Japanese,2.4947705561046836,2.742591463116585,1.2025221226295548,1.2109239851505758,1.2259528472101349,1.9102316195262075,1.4991539409950883
